name,line
'\u1cbc\u1cbc',i wont disagree with u
anonymous,Absolutely bad
anonymous,.
'\u1cbc\u1cbc',DOGSHIT
anonymous,BAIIIIII
'\u1cbc\u1cbc',FOOD IS GOOOOD
'\u1cbc\u1cbc',EAT FOOD
'\u1cbc\u1cbc',HFFFF
'\u1cbc\u1cbc',ORZZ CYAAA
anonymous,OK BYE DINNER
anonymous,LMFAOOO
anonymous,I LEARNWD SOMEONES POSTURE IS WORSE THAN MINE
'\u1cbc\u1cbc',just aly down
anonymous,MY POSTURE IS SO ASS SOMEONE SAW ME SITTING ON TJYV NEWS AND THEY WERE LIKE
'\u1cbc\u1cbc',apoarnetly its good for u
anonymous,I CANT SIT IM SERIOUS
'\u1cbc\u1cbc',sachi told me to get one but i never did 
'\u1cbc\u1cbc',ohhhhh thats cool
anonymous,LMFAOOOOOO
anonymous,LOL
anonymous,Oh hot
anonymous,i don't trust myself to sit
anonymous,i have a standing one now
anonymous,I was like ur screwed then F
anonymous,so i was always sitting there
anonymous,cuz virtual school
anonymous,LOL
anonymous,Okok
anonymous,at hime
anonymous,no
anonymous,yeah
anonymous,Oh wait is it like a school desk
anonymous,Maybe put like something to raise the desk??
anonymous,yeah
'\u1cbc\u1cbc',does it help?
anonymous,SO I DID
anonymous,NAH DOCTOR RECOMMENDED YOGA
anonymous,Nah just sit up straight
'\u1cbc\u1cbc',mgiht help prob not
'\u1cbc\u1cbc',idk
'\u1cbc\u1cbc',back brace?
anonymous,LMFAOOO
'\u1cbc\u1cbc',:(((((
anonymous,don’t care + didn’t ask + cry about it + stay mad + get real + fatherless + mald seethe cope harder + hoes mad + basic + skill issue + ratio + you fell off + the audacity + triggered + any askers + bluepilled + get a life + ok and? + cringe + touch grass + donowalled + not based + you’re a basic bitch + not funny didn’t laugh + you’re* + grammar issue + go outside + get good + reported + ad hominem + GG!
anonymous,haha u get pain
anonymous,and then one day my back went broke
anonymous,don’t care + didn’t ask + cry about it + stay mad + get real + fatherless + mald seethe cope harder + hoes mad + basic + skill issue + ratio + you fell off + the audacity + triggered + any askers + bluepilled + get a life + ok and? + cringe + touch grass + donowalled + not based + you’re a basic bitch + not funny didn’t laugh + you’re* + grammar issue + go outside + get good + reported + ad hominem + GG!
anonymous,Oh L
anonymous,Also cute pfp
anonymous,Be better tbh
anonymous,cuz desk was too low
anonymous,Smh
anonymous,hunched over
anonymous,i sat weirdly in my chair cuz i was always
anonymous,it wasn't a heavy object it was a posture thing
'\u1cbc\u1cbc',pro
'\u1cbc\u1cbc',OMG buff
anonymous,LOL
anonymous,i went to the gym today
anonymous,oh
'\u1cbc\u1cbc',seems intersting
'\u1cbc\u1cbc',idk
'\u1cbc\u1cbc',u shoudl do wieghtlifting, it teaches u proepr tetchinque on picking up heavy objects i think
'\u1cbc\u1cbc',yeah for me if I start working after school i will fall asleep
'\u1cbc\u1cbc',:((((
anonymous,very easy to screw up
'\u1cbc\u1cbc',sometimes to just give me time to think
'\u1cbc\u1cbc',downsides of tallness
'\u1cbc\u1cbc',i shower at nigiht
'\u1cbc\u1cbc',ah fiar
'\u1cbc\u1cbc',nah I do after school
'\u1cbc\u1cbc',:(((((
anonymous,I eat breakfast at home
'\u1cbc\u1cbc',ah i c
anonymous,sometimes I shower in the morning
anonymous,also i have back problems so i gotta do yoga every morning!!!
'\u1cbc\u1cbc',dyu shower?
'\u1cbc\u1cbc',w8 why 30 min
'\u1cbc\u1cbc',orzz!
anonymous,dad will get mad
anonymous,more like
'\u1cbc\u1cbc',oimg respobile
anonymous,icic
'\u1cbc\u1cbc',aww orzzz
anonymous,so for me, getting ready only takes like 30 min
anonymous,and also do the dishes
anonymous,i have to make lunch for my sister and myself
anonymous,yea I usually pack at night
'\u1cbc\u1cbc',brush teeth+ put on clothes
anonymous,LOL
'\u1cbc\u1cbc',getting reedy for me takes 5 min tho 
'\u1cbc\u1cbc',oo fair
'\u1cbc\u1cbc',i dont want to wake up too early or too late
anonymous,then I'm stressed getting ready for school
'\u1cbc\u1cbc',for me i often misguess how long my aassignemtns will take
anonymous,and wake up late
anonymous,if I stay up late
anonymous,cuz like
'\u1cbc\u1cbc',oh thats fair
anonymous,just a thought tho
anonymous,yeah I can see that but if you're tired in the morning if you wake up and in the night if you stay up personally i think it's better to be tired in the morning cuz then you can be less rushed
'\u1cbc\u1cbc',but i think my grade went up
anonymous,I tried that and it worked for a bit but I ended up being too tired in the morning and just went back to sleep rip
anonymous,lollll early sleepers
anonymous,and then i fall asleep again
'\u1cbc\u1cbc',i have worse
anonymous,i force myself to sit up
anonymous,like
'\u1cbc\u1cbc',don't worry i struggle with that tio
'\u1cbc\u1cbc',but i might try that
'\u1cbc\u1cbc',i might not get out of bed tho
'\u1cbc\u1cbc',hmmm
'\u1cbc\u1cbc',o dam
'\u1cbc\u1cbc',LOL he said he was failing chem and he had a 93
anonymous,just a thought
'\u1cbc\u1cbc',ill prob do that
anonymous,this might not work for everyone, esp if you can't do work in the morning, but I prefer sleeping ~10:30 and then waking up at 4-5 to get my work done
'\u1cbc\u1cbc',if shes not that good then j watch auerbachs vids
'\u1cbc\u1cbc',aurbach explains rly well
'\u1cbc\u1cbc',thats tru
anonymous,i feel like only a handful of the math 5 teachers are good
'\u1cbc\u1cbc',but liek i dotn pay as much attention
'\u1cbc\u1cbc',daniel version of failing is probably 93 
'\u1cbc\u1cbc',i dotn feel she tachess that well
'\u1cbc\u1cbc',:(((
'\u1cbc\u1cbc',thats tru
'\u1cbc\u1cbc',i didnt presutdy math 5, but im also failing it so 
anonymous,+ no one could take me to school if I did choose to skip
anonymous,+ I actually like math
